图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
洛丽塔,,http://book.douban.com/subject/1465324/,http://img3.doubanio.com/lpic/s1483347.jpg,[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元,7.7,48351
灿烂千阳,A Thousand Splendid Suns,http://book.douban.com/subject/2143732/,http://img3.douban.com/lpic/s2651394.jpg,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8,43110
彼岸花,,http://book.douban.com/subject/1065970/,http://img3.doubanio.com/lpic/s1077536.jpg,安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元,7.8,47456
1Q84 BOOK 2, : 7月～9月 ,http://book.douban.com/subject/4885241/,http://img3.douban.com/lpic/s4393610.jpg,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元,8.4,44586
老人与海,The Old Man and the Sea,http://book.douban.com/subject/1064275/,http://img3.douban.com/lpic/s1050021.jpg,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.3,44627
一座城池,,http://book.douban.com/subject/1453210/,http://img3.douban.com/lpic/s1627352.jpg,韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,7.4,48447
情书,ラヴレター,http://book.douban.com/subject/1080370/,http://img3.douban.com/lpic/s1127135.jpg,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,42724
他的国,,http://book.douban.com/subject/3394338/,http://img3.doubanio.com/lpic/s3557848.jpg,韩寒 / 万卷出版公司 / 2009-1 / 25.00元,7.5,47750
麦田里的守望者,The Catcher in the Rye,http://book.douban.com/subject/1082518/,http://img3.doubanio.com/lpic/s2738366.jpg,[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,7.9,45615
八月未央,,http://book.douban.com/subject/1029159/,http://img3.doubanio.com/lpic/s1084388.jpg,安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,7.5,46718
神雕侠侣,,http://book.douban.com/subject/1255624/,http://img3.doubanio.com/lpic/s26018916.jpg,金庸 / 三联书店 / 1994-5 / 76.8,8.8,41065
这些都是你给我的爱,,http://book.douban.com/subject/4714734/,http://img3.douban.com/lpic/s4219471.jpg,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,8.5,41758
清醒纪,,http://book.douban.com/subject/1030052/,http://img3.douban.com/lpic/s1071442.jpg,安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元,7.9,43896
西决,,http://book.douban.com/subject/3598313/,http://img3.doubanio.com/lpic/s3658646.jpg,笛安 / 长江文艺出版社 / 2009-3 / 22.80元,8.0,43205
茶花女,La Dame aux camélias,http://book.douban.com/subject/1013380/,http://img3.doubanio.com/lpic/s1008927.jpg,小仲马 / 王振孙 / 外国文学出版社 / 1997-03-01 / 9.00,8.1,42416
霍乱时期的爱情,El amor en los tiempos del cólera,http://book.douban.com/subject/10594787/,http://img3.douban.com/lpic/s11284102.jpg,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,38542
灌篮高手31,,http://book.douban.com/subject/1221515/,http://img3.douban.com/lpic/s2853431.jpg,[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元,9.5,26142
这些人，那些事,,http://book.douban.com/subject/6388661/,http://img3.douban.com/lpic/s6828981.jpg,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,38305
芒果街上的小屋,The House on Mango Street,http://book.douban.com/subject/1794620/,http://img3.douban.com/lpic/s1668712.jpg,[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,7.8,41909
陪安东尼度过漫长岁月,,http://book.douban.com/subject/3014576/,http://img3.doubanio.com/lpic/s2998096.jpg,安东尼 / 长江文艺出版社 / 2008-3 / 18.00,8.4,38784
